,Category
0,Art Carney
1,Akemi Darenogare
2,Billy Bob Thornton
3,Bill Daley
4,Amanda Bynes
5,Anna Friel
6,Alexander Skarsgard
7,Anna Faris
8,Bill Pullman
9,Anjelica Huston
10,Angela Bassett
11,Alx James
12,Benjamin Bratt
13,Andy Garcia
14,Bernie Mac
15,Andreea Diaconu
16,Anna Kendrick
17,Anna Sui
18,Barry Pepper
19,Alexis Thorpe
20,Ashley Judd
21,Amy Ryan
22,Analeigh Tipton
23,Anne Hathaway
24,Amanda Peet
25,Amanda Crew
26,Adriana Barraza
27,Ashton Kutcher
28,Ali Larter
29,Arnold Schwarzenegger
30,Amy Adams
31,Berenice Bejo
32,Alessandra Ambrosio
33,Audrey Hepburn
34,Andy Samberg
35,Abigail Breslin
36,Aaron Judge
37,Andrew Luck
38,Bill Murray
39,Anna Paquin
40,Angelina Jolie
41,Barbra Streisand
42,Ashley Graham
43,Anthony Mackie
44,Alec Baldwin
45,Andy Murray
46,Armin Mueller-Stahl
47,Aaron Paul
48,Andrew Lincoln
49,Adrianne Palicki
50,Alice Eve
51,Anne Bancroft
52,Adrien Brody
53,Anne Baxter
54,Benedict Cumberbatch
55,Andie MacDowell
56,Alexandra Daddario
57,Ben Stiller
58,Andrew Garfield
59,Amy Schumer
60,Ben Kingsley
61,Benicio Del Toro
62,bella thorne
63,Ben Foster
64,Andy Serkis
65,Ashley Greene
66,Albert Finney
67,Alan Rickman
68,Bill Rancic
69,Barabara Palvin
70,Ben Affleck
71,Adriana Lima
72,Albert Brooks
73,Bill Paxton
74,Alan Arkin
75,Anthony Hopkins
76,Alex Pettyfer
77,Amber Heard
78,Amanda Seyfried
79,Annette Bening
80,Antonio Banderas
81,Anthony Perkins
82,Alicia Vikander
83,Aaron Taylor-Johnson
84,Al Roker
85,AnnaSophia Robb
86,Anderson Cooper
87,Audrey Tautou
88,Betty White
89,Bella Hadid
90,Adam Sandler
91,Alan Alda
92,Beyonce Knowles
93,Al Pacino
94,Bill O Reilly
95,Bill Hader
96,Ben Johnson
97,Ava Gardner
98,Adele
99,Bette Midler
